mov_name,date,strain,num_spots,frac_cells
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_13_w2GFPlow,3272019,TL47pQC116,2,0.2033898305084746
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_13_w2GFPlow,3272019,TL47pQC116,3,0.01694915254237288
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_13_w2GFPlow,3272019,TL47pQC116,4,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_13_w2GFPlow,3272019,TL47pQC116,5,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_13_w2GFPlow,3272019,TL47pQC116,6,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_13_w2GFPlow,3272019,TL47pQC116,7,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_13_w2GFPlow,3272019,TL47pQC116,8,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_13_w2GFPlow,3272019,TL47pQC116,9,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_14_w2GFPlow,3272019,TL47pQC116,1,0.7934782608695652
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_14_w2GFPlow,3272019,TL47pQC116,2,0.18478260869565216
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_14_w2GFPlow,3272019,TL47pQC116,3,0.021739130434782608
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_14_w2GFPlow,3272019,TL47pQC116,4,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_14_w2GFPlow,3272019,TL47pQC116,5,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_14_w2GFPlow,3272019,TL47pQC116,6,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_14_w2GFPlow,3272019,TL47pQC116,7,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_14_w2GFPlow,3272019,TL47pQC116,8,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_14_w2GFPlow,3272019,TL47pQC116,9,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_15_w2GFPlow,3272019,TL47pQC116,1,0.7666666666666667
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_15_w2GFPlow,3272019,TL47pQC116,2,0.2
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_15_w2GFPlow,3272019,TL47pQC116,3,0.03333333333333333
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_15_w2GFPlow,3272019,TL47pQC116,4,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_15_w2GFPlow,3272019,TL47pQC116,5,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_15_w2GFPlow,3272019,TL47pQC116,6,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_15_w2GFPlow,3272019,TL47pQC116,7,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_15_w2GFPlow,3272019,TL47pQC116,8,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_15_w2GFPlow,3272019,TL47pQC116,9,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_16_w2GFPlow,3272019,TL47pQC116,1,0.7377049180327869
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_16_w2GFPlow,3272019,TL47pQC116,2,0.22950819672131148
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_16_w2GFPlow,3272019,TL47pQC116,3,0.03278688524590164
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_16_w2GFPlow,3272019,TL47pQC116,4,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_16_w2GFPlow,3272019,TL47pQC116,5,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_16_w2GFPlow,3272019,TL47pQC116,6,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_16_w2GFPlow,3272019,TL47pQC116,7,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_16_w2GFPlow,3272019,TL47pQC116,8,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_16_w2GFPlow,3272019,TL47pQC116,9,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_17_w2GFPlow,3272019,TL47pQC116,1,0.71875
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_17_w2GFPlow,3272019,TL47pQC116,2,0.25
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_17_w2GFPlow,3272019,TL47pQC116,3,0.03125
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_17_w2GFPlow,3272019,TL47pQC116,4,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_17_w2GFPlow,3272019,TL47pQC116,5,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_17_w2GFPlow,3272019,TL47pQC116,6,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_17_w2GFPlow,3272019,TL47pQC116,7,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_17_w2GFPlow,3272019,TL47pQC116,8,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_17_w2GFPlow,3272019,TL47pQC116,9,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_18_w2GFPlow,3272019,TL47pQC116,1,0.7945205479452054
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_18_w2GFPlow,3272019,TL47pQC116,2,0.1643835616438356
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_18_w2GFPlow,3272019,TL47pQC116,3,0.0410958904109589
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_18_w2GFPlow,3272019,TL47pQC116,4,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_18_w2GFPlow,3272019,TL47pQC116,5,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_18_w2GFPlow,3272019,TL47pQC116,6,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_18_w2GFPlow,3272019,TL47pQC116,7,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_18_w2GFPlow,3272019,TL47pQC116,8,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_18_w2GFPlow,3272019,TL47pQC116,9,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_19_w2GFPlow,3272019,TL47pQC116,1,0.8166666666666667
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_19_w2GFPlow,3272019,TL47pQC116,2,0.16666666666666666
