time_postinduction,mov_name,strain,no_TS,no_cells,frac_active,thresh,rep,date,CTDr
39.266666666666666,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_13,yQC26,39,89,0.43820224719101125,4,13.0,05222019,101
39.316666666666656,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_12,yQC63,7,137,0.051094890510948905,4,12.0,05222019,9
39.433333333333344,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_13,yQC22,36,85,0.4235294117647059,4,13.0,05222019,14
39.55,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_14,yQC21,105,157,0.6687898089171974,4,14.0,05232019,26
39.66666666666666,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_12,yQC62,33,110,0.3,4,12.0,05222019,10
39.71666666666667,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_9,yQC62,31,122,0.2540983606557377,4,9.0,03132019,10
39.8,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_12,yQC23,59,123,0.4796747967479675,4,12.0,05222019,12
39.91666666666666,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_14,yQC26,58,94,0.6170212765957447,4,14.0,05222019,101
39.933333333333344,03052019_yQC22_255u100%int480_150msExp_30-50minPosGal_9,yQC22,177,239,0.7405857740585774,4,9.0,03052019,14
39.96666666666667,03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_10,yQC21,219,274,0.7992700729927007,4,10.0,03052019,26
39.96666666666667,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_9,yQC63,8,63,0.12698412698412698,4,9.0,03272019,9
40.016666666666666,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_13,yQC63,14,131,0.10687022900763359,4,13.0,05222019,9
40.16666666666666,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_12,yQC23,163,253,0.6442687747035574,4,12.0,03052019,12
40.16666666666666,03062019_yQC26_255u100%int480_150msExp_30-50minPosGal_8,yQC26,26,47,0.5531914893617021,4,8.0,03062019,101
40.183333333333344,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_14,yQC22,34,72,0.4722222222222222,4,14.0,05222019,14
40.183333333333344,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_15,yQC21,93,140,0.6642857142857143,4,15.0,05232019,26
40.46666666666667,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_13,yQC62,31,89,0.34831460674157305,4,13.0,05222019,10
40.516666666666666,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_13,yQC23,64,130,0.49230769230769234,4,13.0,05222019,12
40.683333333333344,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_15,yQC26,58,129,0.4496124031007752,4,15.0,05222019,101
40.73333333333333,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_10,yQC62,27,96,0.28125,4,10.0,03132019,10
40.8,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_16,yQC21,95,153,0.6209150326797386,4,16.0,05232019,26
40.98333333333333,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_10,yQC63,7,53,0.1320754716981132,4,10.0,03272019,9
41.066666666666656,03062019_yQC26_255u100%int480_150msExp_30-50minPosGal_9,yQC26,40,86,0.46511627906976744,4,9.0,03062019,101
41.083333333333336,03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_11,yQC21,193,242,0.7975206611570248,4,11.0,03052019,26
41.15,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_14,yQC63,12,142,0.08450704225352113,4,14.0,05222019,9
41.3,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_15,yQC22,29,79,0.3670886075949367,4,15.0,05222019,14
41.3,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_14,yQC23,73,127,0.5748031496062992,4,14.0,05222019,12
41.433333333333344,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_14,yQC62,34,109,0.3119266055045872,4,14.0,05222019,10
41.46666666666667,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_13,yQC23,121,188,0.6436170212765957,4,13.0,03052019,12
41.48333333333333,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_16,yQC26,58,118,0.4915254237288136,4,16.0,05222019,101
41.516666666666666,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_17,yQC21,81,149,0.5436241610738255,4,17.0,05232019,26
41.566666666666656,03052019_yQC22_255u100%int480_150msExp_30-50minPosGal_10,yQC22,145,205,0.7073170731707317,4,10.0,03052019,14
41.933333333333344,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_11,yQC62,26,102,0.2549019607843137,4,11.0,03132019,10
42.0,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_15,yQC63,12,137,0.08759124087591241,4,15.0,05222019,9
42.016666666666666,03062019_yQC26_255u100%int480_150msExp_30-50minPosGal_10,yQC26,36,64,0.5625,4,10.0,03062019,101
42.066666666666656,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_16,yQC22,27,91,0.2967032967032967,4,16.0,05222019,14
42.13333333333333,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_18,yQC21,85,143,0.5944055944055944,4,18.0,05232019,26
42.23333333333333,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_11,yQC63,8,50,0.16,4,11.0,03272019,9
42.266666666666666,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_15,yQC23,50,134,0.373134328358209,4,15.0,05222019,12
42.266666666666666,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_15,yQC62,28,112,0.25,4,15.0,05222019,10
42.316666666666656,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_14,yQC23,123,206,0.5970873786407767,4,14.0,03052019,12
42.41666666666666,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_17,yQC26,40,97,0.41237113402061853,4,17.0,05222019,101
42.566666666666656,03052019_yQC22_255u100%int480_150msExp_30-50minPosGal_11,yQC22,156,227,0.6872246696035242,4,11.0,03052019,14
42.78333333333333,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_16,yQC63,7,146,0.04794520547945205,4,16.0,05222019,9
42.833333333333336,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_17,yQC22,26,100,0.26,4,17.0,05222019,14
42.833333333333336,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_19,yQC21,80,134,0.5970149253731343,4,19.0,05232019,26
42.9,03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_12,yQC21,189,243,0.7777777777777778,4,12.0,03052019,26
42.96666666666667,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_16,yQC23,78,135,0.5777777777777777,4,16.0,05222019,12
43.16666666666666,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_12,yQC62,28,98,0.2857142857142857,4,12.0,03132019,10
43.18333333333334,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_12,yQC63,10,66,0.15151515151515152,4,12.0,03272019,9
43.2,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_15,yQC23,120,198,0.6060606060606061,4,15.0,03052019,12
43.28333333333333,03062019_yQC26_255u100%int480_150msExp_30-50minPosGal_11,yQC26,46,98,0.46938775510204084,4,11.0,03062019,101
43.33333333333334,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_16,yQC62,29,104,0.27884615384615385,4,16.0,05222019,10
43.43333333333334,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_18,yQC26,57,120,0.475,4,18.0,05222019,101
43.55,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_20,yQC21,84,144,0.5833333333333334,4,20.0,05232019,26
43.6,03052019_yQC22_255u100%int480_150msExp_30-50minPosGal_12,yQC22,143,205,0.697560975609756,4,12.0,03052019,14
43.66666666666666,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_18,yQC22,19,115,0.16521739130434782,4,18.0,05222019,14
43.71666666666667,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_17,yQC63,10,105,0.09523809523809523,4,17.0,05222019,9
43.75,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_17,yQC23,65,136,0.47794117647058826,4,17.0,05222019,12
44.1,03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_13,yQC21,259,313,0.8274760383386581,4,13.0,03052019,26
44.15,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_16,yQC23,150,239,0.6276150627615062,4,16.0,03052019,12
44.15,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_19,yQC26,59,120,0.49166666666666664,4,19.0,05222019,101
44.28333333333333,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_13,yQC62,34,93,0.3655913978494624,4,13.0,03132019,10
44.28333333333333,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_13,yQC63,19,106,0.1792452830188679,4,13.0,03272019,9
44.28333333333333,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_17,yQC62,35,82,0.4268292682926829,4,17.0,05222019,10
44.28333333333333,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_21,yQC21,84,150,0.56,4,21.0,05232019,26
44.43333333333334,03062019_yQC26_255u100%int480_150msExp_30-50minPosGal_12,yQC26,34,90,0.37777777777777777,4,12.0,03062019,101
44.48333333333333,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_19,yQC22,17,114,0.14912280701754385,4,19.0,05222019,14
44.53333333333333,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_18,yQC63,12,106,0.11320754716981132,4,18.0,05222019,9
44.58333333333334,03052019_yQC22_255u100%int480_150msExp_30-50minPosGal_13,yQC22,125,192,0.6510416666666666,4,13.0,03052019,14
44.81666666666666,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_18,yQC23,56,107,0.5233644859813084,4,18.0,05222019,12
44.85,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_22,yQC21,85,147,0.5782312925170068,4,22.0,05232019,26
45.0,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_17,yQC23,136,228,0.5964912280701754,4,17.0,03052019,12
45.11666666666667,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_14,yQC63,24,129,0.18604651162790697,4,14.0,03272019,9
45.18333333333334,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_14,yQC62,36,104,0.34615384615384615,4,14.0,03132019,10
45.23333333333333,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_20,yQC26,62,102,0.6078431372549019,4,20.0,05222019,101
45.26666666666666,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_18,yQC62,22,74,0.2972972972972973,4,18.0,05222019,10
45.33333333333334,03062019_yQC26_255u100%int480_150msExp_30-50minPosGal_13,yQC26,49,87,0.5632183908045977,4,13.0,03062019,101
45.4,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_20,yQC22,24,108,0.2222222222222222,4,20.0,05222019,14
45.46666666666667,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_19,yQC63,9,136,0.0661764705882353,4,19.0,05222019,9
45.56666666666666,03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_14,yQC21,218,281,0.7758007117437722,4,14.0,03052019,26
